run_ID,runname,MRT_Pa,MRT_Th,median_Pad,median_Thd,median_Pap,median_Thp,MAE_no_weights_Pad,MAE_no_weights_Thd,MAE_no_weights_Pap,MAE_no_weights_Thp,MAE_tot_weights_Pad,MAE_tot_weights_Thd,MAE_tot_weights_Pap,MAE_tot_weights_Thp,MAE_vol_weights_Pad,MAE_vol_weights_Thd,MAE_vol_weights_Pap,MAE_vol_weights_Thp,MAE_unc_weights_Pad,MAE_unc_weights_Thd,MAE_unc_weights_Pap,MAE_unc_weights_Thp,RMSE_no_weights_Pad,RMSE_no_weights_Thd,RMSE_no_weights_Pap,RMSE_no_weights_Thp,RMSE_tot_weights_Pad,RMSE_tot_weights_Thd,RMSE_tot_weights_Pap,RMSE_tot_weights_Thp,﻿BGC_PaThWs,PaDesConst,ThDesConst,sigmaPaPOC,sigmaPaCa,sigmaPaOp,sigmaPaDu,sigmaPaNeph,sigmaThPOC,sigmaThCa,sigmaThOp,sigmaThDu,sigmaThNeph
1000,3TU1000_PI,,,20.62700758379697,24.036811927077533,0.7071019714365286,4.23875714359684,17.803287969538435,25.42642710234504,0.7244673839719038,5.4393644251589945,20.98493754106048,33.342837065751546,0.5304833016209255,7.908266307389979,19.0462033775315,41.629004739912496,0.5906024787828273,7.567996684740552,14.688777811632526,16.380862213455238,0.4845941773980183,5.373507676650645,21.615166645085203,38.73034553753772,1.0104856545149947,7.443634667645456,26.234988482977936,48.273410407982134,0.7650189256030776,9.834292687339932,100,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1001,3TU1001_PI,152.5977828714395,32.927423618357516,2.7362253083355568,4.484525823548606,0.07297713666369153,0.7013254797625491,1.4723102596330342,3.110823850537596,0.06434142730255532,0.5774796910277061,1.976347247410623,3.7251019240743797,0.07069753069512542,1.1276367073614124,1.829131402958451,4.339413441426783,0.06361756873290317,0.915170832078064,1.1338959378867732,2.113339934014689,0.04872015501895813,0.6238920877952647,2.2563091161917175,4.8560163151759195,0.10696863752475583,1.2243818894012628,2.960600697927166,6.014755381227625,0.1095463276264187,1.62212597496293,500,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1002,3TU1002_PI,82.06156918922625,17.728024465943648,1.4613904384066658,2.561176017118501,0.03296594940910208,0.3428441647954247,1.7161513844335043,3.823526545177532,0.033898093204328746,0.49439962117794495,1.5327986982411024,3.2681402788398883,0.035796953945169484,0.5794920747859051,1.5762910757409399,4.105549149004396,0.03181941873728658,0.7035204182723849,1.1529699671940699,2.410842895580814,0.023877953585709696,0.3436171655373949,2.351843330836341,5.264069018249221,0.06240547064837546,1.217298480685344,2.1072120687588343,4.489336028361242,0.06260954471502364,0.9047685630252269,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1003,3TU1003_PI,59.39894021427028,12.706319712189305,1.0876235236807095,1.9507642688933928,0.021376733947260248,0.22720793429904473,2.012174135601657,4.593587755514666,0.03333617799528232,0.623790820862985,1.737723087882657,4.046134045612429,0.029064198812762034,0.5692130236703432,1.862587956291494,5.204487627828407,0.030133371781622408,0.8854253413839688,1.314615753864795,2.8609342663201285,0.02029540052106814,0.3625073541955096,2.72809574433339,6.182482320533285,0.06154539602362281,1.337118744300711,2.441388491293651,5.407632893055657,0.05433974913618472,0.8655663772204375,1500,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1004,3TU1004_PI,48.15686560654659,10.197456526475344,0.9089014838427264,1.6525265809102834,0.015801720443894808,0.1699999574319662,2.2280606472805413,5.049857216225858,0.03578803719375359,0.7070483323637069,2.0001098299023723,4.6258997291494985,0.0277522526372712,0.5953219993627682,2.1378442112682596,5.967635607367966,0.03192946034628535,1.0087803776030195,1.455389926054749,3.139201968642548,0.02021384068991651,0.3939644012199545,2.9589710042456536,6.718655756162678,0.06455551716031782,1.413542395284599,2.7091002832352093,6.043272961542285,0.053421718443829126,0.9028860466422978,2000,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1005,3TU1005_PI,36.91906488262774,7.685699471906502,0.7370203763254132,1.3547180098630311,0.010341416607508215,0.1131692946043344,2.471873348111576,5.513860973541789,0.04069935504659517,0.793372753498536,2.339721025109862,5.245586222308615,0.028934597505728268,0.6264205499257297,2.4619021119778597,6.751090821460071,0.03660522782873262,1.1367322785251635,1.626934789825513,3.4282756396960314,0.021813881048043843,0.42870515835132345,3.2145894745931183,7.290747453200169,0.06959986068961603,1.4983886607740515,3.0332981871056712,6.75481233807892,0.05538658700134432,0.9733107473778725,3000,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1006,3TU1006_PI,31.277759691799158,6.42722778286027,0.6478688577282681,1.2092596285257562,0.007699249853505918,0.08461148104012509,2.6000973185403953,5.749565746035902,0.044186694514133845,0.8373136501003376,2.5236590475208796,5.567130825715077,0.03058026368729699,0.643938379833115,2.6356941673072702,7.1510349915965294,0.04028989806293906,1.2024211268088716,1.7181841249587744,3.5760267315470338,0.023210274790175348,0.4472821809115096,3.351340688551125,7.588015151617461,0.07276872471611812,1.5433949328125067,3.215960910057804,7.131959580834823,0.057537506431354496,1.0187110758053153,4000,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1007,3TU1007_PI,27.887970979982338,5.6728197423977065,0.5994831677970148,1.1217958223861304,0.006114299050075734,0.06777042196372318,2.678242182440039,5.891748436056643,0.046542023232783246,0.8650458157828906,2.637903852055203,5.761951122017412,0.03179240953365357,0.6564499771794332,2.742066414764241,7.3916099581111245,0.042740596711995794,1.2435261470063492,1.7753374278898961,3.668233065441213,0.024278520421354553,0.4597878290580892,3.436543569286063,7.769466821083083,0.07493459511418796,1.5715125328359076,3.332986447507098,7.363879940174438,0.05929001572119224,1.0492099010285219,5000,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1008,3TU1008_PI,307.43242056600957,64.20254162683369,5.994499220933216,8.710988160542628,0.17711882896566816,1.4701351642604978,3.5594166754360406,6.586028741136349,0.17215280518839304,1.6385707464197854,5.251514827611923,9.880598475234754,0.15807329672355416,2.801987912828642,4.7851935909614,12.098683349579028,0.1633819382314798,2.447743291793558,2.8979110594443,4.310872014377285,0.11944107043399133,1.7092597995595624,5.711313278549831,11.867270956436665,0.2712243998207481,2.389546295955077,7.919949694603802,16.004039588225158,0.238296617292598,3.6118856305514373,250,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
1009,3TU1009_PI,105.10058705588307,22.767232821837577,1.867200209400255,3.184608139588288,0.045328892652643844,0.46108960601225996,1.5423200173206406,3.306189961893153,0.041150094663625715,0.4480737825647854,1.5575962050921992,2.975587568475627,0.046311138803891205,0.6968165566164735,1.5238511936322634,3.6528449226578874,0.040051234520534724,0.6723441380902592,1.0817835731575045,2.12176652475384,0.03080720117567185,0.38905369508886967,2.1221838687962298,4.659925429074522,0.07176481896829519,1.1538374305901993,2.1011551342199954,4.279934487192746,0.07594249120240229,1.0758988484454308,750,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.00226,0.0282
