"lon","lat","z","cruise","station","Pad","Pad_err","Thd","Thd_err"
-42.01,59.8,19.5,"deng",60,1.55,0.32,0.99,0.16
-42.01,59.8,3.7,"deng",60,1.44,0.24,1.11,0.14
-46.08,59.07,2466.8,"deng",64,1.32,0.19,2.4,0.14
-46.08,59.07,2423.6,"deng",64,1.44,0.2,2.76,0.18
-46.08,59.07,2374,"deng",64,1.67,0.19,2.8,0.13
-46.08,59.07,2226.6,"deng",64,1.83,0.27,3.99,0.15
-46.08,59.07,1775.6,"deng",64,2.01,0.2,4.1,0.17
-46.08,59.07,890,"deng",64,1.93,0.19,3.34,0.19
-46.08,59.07,395.2,"deng",64,1.56,0.17,2.65,0.18
-46.08,59.07,247.4,"deng",64,1.6,0.26,2.36,0.18
-46.08,59.07,99.2,"deng",64,1.81,0.23,2.51,0.16
-46.08,59.07,29.5,"deng",64,1.68,0.28,1.58,0.14
-46.08,59.07,5.1,"deng",64,1.34,0.21,1.11,0.17
-48.09,55.84,3676.5,"deng",69,0.7,0.1,1.43,0.21
-48.09,55.84,3637.3,"deng",69,0.58,0.12,1.41,0.16
-48.09,55.84,3589.5,"deng",69,0.76,0.11,1.58,0.19
-48.09,55.84,3444.7,"deng",69,0.92,0.11,2.65,0.19
-48.09,55.84,2951.8,"deng",69,1.01,0.11,4.29,0.23
-48.09,55.84,2462.6,"deng",69,1.05,0.11,4.8,0.21
-48.09,55.84,2168.1,"deng",69,1.49,0.12,4.49,0.22
-48.09,55.84,1481.3,"deng",69,1.16,0.1,3.6,0.2
-48.09,55.84,989,"deng",69,1.26,0.11,3.31,0.21
-48.09,55.84,445.6,"deng",69,1.2,0.07,3.08,0.23
-48.09,55.84,248.8,"deng",69,1.04,0.07,2.95,0.18
-48.09,55.84,99.5,"deng",69,0.89,0.1,2.58,0.22
-48.09,55.84,28.7,"deng",69,0.96,0.07,1.07,0.24
-48.09,55.84,8.2,"deng",69,0.79,0.07,0.99,0.17
-51.1,53,2487.5,"deng",77,,,2.99,0.14
-51.1,53,2462.8,"deng",77,2.2,0.15,3.02,0.14
-51.1,53,2414.2,"deng",77,1.94,0.1,3.04,0.15
-51.1,53,2268.5,"deng",77,1.72,0.12,4.56,0.16
-51.1,53,2170.5,"deng",77,2.36,0.13,3.97,0.17
-51.1,53,1678.1,"deng",77,2.21,0.13,4.08,0.16
-51.1,53,1235.4,"deng",77,1.01,0.13,3.97,0.18
-51.1,53,989.6,"deng",77,3.09,0.23,3.64,0.17
-51.1,53,496.4,"deng",77,,,3.16,0.17
-51.1,53,297.9,"deng",77,0.86,0.07,3.42,0.23
-51.1,53,78.8,"deng",77,2.08,0.14,2.5,0.2
-51.1,53,2.5,"deng",77,1.61,0.12,0.95,0.17
