# setID,﻿BGC_PaThWs,BGC_PaDesConst,BGC_ThDesConst,BGC_sigmaPaPOC,BGC_sigmaPaCa,BGC_sigmaPaOp,BGC_sigmaPaDu,BGC_sigmaPaNeph,BGC_sigmaThPOC,BGC_sigmaThCa,BGC_sigmaThOp,BGC_sigmaThDu,BGC_sigmaThNeph
1301,1000,2.4,2.4,0.02,0.1,0.22,0.0044,0.028,0.084,1,0.11,0.00226,0.0282
1302,1000,2.4,2.4,0.02,0.2,0.22,0.0044,0.028,0.084,2,0.11,0.00226,0.0282
1303,1000,2.4,2.4,0.02,0.3,0.22,0.0044,0.028,0.084,3,0.11,0.00226,0.0282
1304,1000,2.4,2.4,0.02,0.4,0.22,0.0044,0.028,0.084,4,0.11,0.00226,0.0282
1305,1000,2.4,2.4,0.02,0.5,0.22,0.0044,0.028,0.084,5,0.11,0.00226,0.0282
1306,1000,2.4,2.4,0.02,0.6,0.22,0.0044,0.028,0.084,6,0.11,0.00226,0.0282
1307,1000,2.4,2.4,0.02,0.7,0.22,0.0044,0.028,0.084,7,0.11,0.00226,0.0282
1308,1000,2.4,2.4,0.02,0.8,0.22,0.0044,0.028,0.084,8,0.11,0.00226,0.0282
1309,1000,2.4,2.4,0.02,0.001,0.22,0.0044,0.028,0.084,0.5,0.11,0.00226,0.0282
1310,1000,2.4,2.4,0.02,0.003,0.22,0.0044,0.028,0.084,1.5,0.11,0.00226,0.0282
1311,1000,2.4,2.4,0.02,0.007,0.22,0.0044,0.028,0.084,2.5,0.11,0.00226,0.0282
1312,1000,2.4,2.4,0.02,0.01,0.22,0.0044,0.028,0.084,3.5,0.11,0.00226,0.0282
1313,1000,2.4,2.4,0.02,0.05,0.22,0.0044,0.028,0.084,4.5,0.11,0.00226,0.0282
1314,1000,2.4,2.4,0.02,1.6,0.22,0.0044,0.028,0.084,5.5,0.11,0.00226,0.0282
1315,1000,2.4,2.4,0.02,3.2,0.22,0.0044,0.028,0.084,12,0.11,0.00226,0.0282
1316,1000,2.4,2.4,0.02,6.4,0.22,0.0044,0.028,0.084,20,0.11,0.00226,0.0282
1317,1000,2.4,2.4,0.02,12,0.22,0.0044,0.028,0.084,28,0.11,0.00226,0.0282
1318,1000,2.4,2.4,0.02,40,0.22,0.0044,0.028,0.084,40,0.11,0.00226,0.0282
1400,1000,2.4,2.4,0.02,0.23,0,0.0044,0.028,0.084,3.97,0,0.00226,0.0282
1401,1000,2.4,2.4,0.02,0.23,0.005,0.0044,0.028,0.084,3.97,0.005,0.00226,0.0282
1402,1000,2.4,2.4,0.02,0.23,0.01,0.0044,0.028,0.084,3.97,0.01,0.00226,0.0282
1403,1000,2.4,2.4,0.02,0.23,0.015,0.0044,0.028,0.084,3.97,0.015,0.00226,0.0282
1404,1000,2.4,2.4,0.02,0.23,0.02,0.0044,0.028,0.084,3.97,0.02,0.00226,0.0282
1405,1000,2.4,2.4,0.02,0.23,0.025,0.0044,0.028,0.084,3.97,0.025,0.00226,0.0282
1406,1000,2.4,2.4,0.02,0.23,0.03,0.0044,0.028,0.084,3.97,0.03,0.00226,0.0282
1407,1000,2.4,2.4,0.02,0.23,0.035,0.0044,0.028,0.084,3.97,0.035,0.00226,0.0282
1408,1000,2.4,2.4,0.02,0.23,0.04,0.0044,0.028,0.084,3.97,0.04,0.00226,0.0282
1409,1000,2.4,2.4,0.02,0.23,0.06,0.0044,0.028,0.084,3.97,0.0005,0.00226,0.0282
1410,1000,2.4,2.4,0.02,0.23,0.08,0.0044,0.028,0.084,3.97,0.001,0.00226,0.0282
1411,1000,2.4,2.4,0.02,0.23,0.1,0.0044,0.028,0.084,3.97,0.08,0.00226,0.0282
1412,1000,2.4,2.4,0.02,0.23,0.2,0.0044,0.028,0.084,3.97,0.2,0.00226,0.0282
1413,1000,2.4,2.4,0.02,0.23,0.4,0.0044,0.028,0.084,3.97,0.4,0.00226,0.0282
1414,1000,2.4,2.4,0.02,0.23,0.8,0.0044,0.028,0.084,3.97,0.8,0.00226,0.0282
1415,1000,2.4,2.4,0.02,0.23,1.6,0.0044,0.028,0.084,3.97,1.6,0.00226,0.0282
1416,1000,2.4,2.4,0.02,0.23,3,0.0044,0.028,0.084,3.97,3,0.00226,0.0282
1417,1000,2.4,2.4,0.02,0.23,6,0.0044,0.028,0.084,3.97,6,0.00226,0.0282
1418,1000,2.4,2.4,0.02,0.23,12,0.0044,0.028,0.084,3.97,12,0.00226,0.0282
1419,1000,2.4,2.4,0.02,0.23,20,0.0044,0.028,0.084,3.97,20,0.00226,0.0282
1420,1000,2.4,2.4,0.02,0.23,40,0.0044,0.028,0.084,3.97,40,0.00226,0.0282
1421,1000,2.4,2.4,0.02,0.23,60,0.0044,0.028,0.084,3.97,60,0.00226,0.0282
1500,1000,2.4,2.4,0.02,0.23,0.22,0,0.028,0.084,3.97,0.11,0,0.0282
1501,1000,2.4,2.4,0.02,0.23,0.22,0.0005,0.028,0.084,3.97,0.11,0.0005,0.0282
1502,1000,2.4,2.4,0.02,0.23,0.22,0.001,0.028,0.084,3.97,0.11,0.001,0.0282
1503,1000,2.4,2.4,0.02,0.23,0.22,0.0015,0.028,0.084,3.97,0.11,0.0015,0.0282
1504,1000,2.4,2.4,0.02,0.23,0.22,0.002,0.028,0.084,3.97,0.11,0.002,0.0282
1505,1000,2.4,2.4,0.02,0.23,0.22,0.003,0.028,0.084,3.97,0.11,0.003,0.0282
1506,1000,2.4,2.4,0.02,0.23,0.22,0.004,0.028,0.084,3.97,0.11,0.004,0.0282
1507,1000,2.4,2.4,0.02,0.23,0.22,0.005,0.028,0.084,3.97,0.11,0.005,0.0282
1508,1000,2.4,2.4,0.02,0.23,0.22,0.006,0.028,0.084,3.97,0.11,0.006,0.0282
1509,1000,2.4,2.4,0.02,0.23,0.22,0.007,0.028,0.084,3.97,0.11,0.007,0.0282
1510,1000,2.4,2.4,0.02,0.23,0.22,0.00025,0.028,0.084,3.97,0.11,0.00001,0.0282
1511,1000,2.4,2.4,0.02,0.23,0.22,0.00075,0.028,0.084,3.97,0.11,0.00005,0.0282
1512,1000,2.4,2.4,0.02,0.23,0.22,0.00125,0.028,0.084,3.97,0.11,0.00025,0.0282
1513,1000,2.4,2.4,0.02,0.23,0.22,0.01,0.028,0.084,3.97,0.11,0.00075,0.0282
1514,1000,2.4,2.4,0.02,0.23,0.22,0.02,0.028,0.084,3.97,0.11,0.01,0.0282
1515,1000,2.4,2.4,0.02,0.23,0.22,0.05,0.028,0.084,3.97,0.11,0.02,0.0282
1516,1000,2.4,2.4,0.02,0.23,0.22,0.1,0.028,0.084,3.97,0.11,0.05,0.0282
1517,1000,2.4,2.4,0.02,0.23,0.22,0.5,0.028,0.084,3.97,0.11,0.1,0.0282
1518,1000,2.4,2.4,0.02,0.23,0.22,1,0.028,0.084,3.97,0.11,1,0.0282
1519,1000,2.4,2.4,0.02,0.23,0.22,5,0.028,0.084,3.97,0.11,5,0.0282
1520,1000,2.4,2.4,0.02,0.23,0.22,10,0.028,0.084,3.97,0.11,10,0.0282
1600,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0,0.084,3.97,0.11,0.00226,0
1601,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.005,0.084,3.97,0.11,0.00226,0.005
1602,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.01,0.084,3.97,0.11,0.00226,0.01
1603,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.015,0.084,3.97,0.11,0.00226,0.015
1604,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.02,0.084,3.97,0.11,0.00226,0.02
1605,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.03,0.084,3.97,0.11,0.00226,0.03
1606,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.04,0.084,3.97,0.11,0.00226,0.04
1607,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.05,0.084,3.97,0.11,0.00226,0.05
1608,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.06,0.084,3.97,0.11,0.00226,0.06
1609,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.0001,0.084,3.97,0.11,0.00226,0.025
1610,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.0005,0.084,3.97,0.11,0.00226,0.035
1611,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.001,0.084,3.97,0.11,0.00226,0.045
1612,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.003,0.084,3.97,0.11,0.00226,0.055
1613,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.08,0.084,3.97,0.11,0.00226,0.07
1614,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.12,0.084,3.97,0.11,0.00226,0.08
1615,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.2,0.084,3.97,0.11,0.00226,1
1616,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.5,0.084,3.97,0.11,0.00226,5
1617,1000,2.4,2.4,0.02,0.23,0.22,0.0044,1,0.084,3.97,0.11,0.00226,10
1618,1000,2.4,2.4,0.02,0.23,0.22,0.0044,10,0.084,3.97,0.11,0.00226,20
1701,1000,2.4,2.4,0.003,0.0345,0.033,0.00066,0.0028,0.021,1.1895,0.03,0.00066,0.0054
1702,1000,2.4,2.4,0.006,0.069,0.066,0.00132,0.0056,0.042,2.379,0.06,0.00132,0.0108
1703,1000,2.4,2.4,0.009,0.1035,0.099,0.00198,0.0084,0.063,3.5685,0.09,0.00198,0.0162
1704,1000,2.4,2.4,0.012,0.138,0.132,0.00264,0.0112,0.084,4.758,0.12,0.00264,0.0216
1705,1000,2.4,2.4,0.015,0.1725,0.165,0.0033,0.014,0.105,5.9475,0.15,0.0033,0.027
1706,1000,2.4,2.4,0.018,0.207,0.198,0.00396,0.0168,0.126,7.137,0.18,0.00396,0.0324
1707,1000,2.4,2.4,0.021,0.2415,0.231,0.00462,0.0196,0.147,8.3265,0.21,0.00462,0.0378
1708,1000,2.4,2.4,0.024,0.276,0.264,0.00528,0.0224,0.168,9.516,0.24,0.00528,0.0432
1709,1000,2.4,2.4,0.027,0.3105,0.297,0.00594,0.0252,0.189,10.7055,0.27,0.00594,0.0486
1710,1000,2.4,2.4,0.03,0.345,0.33,0.0066,0.028,0.21,11.895,0.3,0.0066,0.054
1800,1000,2.4,2.4,0,0.05,0.04,0.0012,0.03,0.2,8,0.04,0.007,0.03
1801,1250,2.4,2.4,0,0.05,0.04,0.0012,0.03,0.2,8,0.04,0.007,0.03
1802,1500,2.4,2.4,0,0.05,0.04,0.0012,0.03,0.2,8,0.04,0.007,0.03
1803,1000,2.4,2.4,0.001,0.05,0.1,0.00025,0.005,0.005,3,0.0005,0.00001,0.005
1804,1000,2.4,2.4,0.015,0.2,0.08,0.00025,0.06,0.005,2,0.04,0.00001,0.06
1805,1000,2.4,2.4,0.008,0.125,0.09,0.00025,0.03,0.005,2.5,0.02,0.00001,0.03
1806,1000,2.4,2.4,0.008000003,0.125000004,0.090000001,0.00025,0.029999998,0.005000001,2.50000001,0.020000001,1.00001E-05,0.029999999
1807,1000,2.4,2.4,0,0.20,0.16,0.0048,0.12,0.1,4,0.02,0.0035,0.015
1808,1000,2.4,2.4,0,0.3,0.24,0.0072,0.18,0.133333333,5.333333333,0.026666667,0.004666667,0.02
1809,1000,2.4,2.4,0,0.1,0.08,0.0024,0.06,0.08,3.2,0.016,0.0028,0.012
