run_ID,runname,MRT_Pa,MRT_Th,median_Pad,median_Thd,median_Pap,median_Thp,MAE_no_weights_Pad,MAE_no_weights_Thd,MAE_no_weights_Pap,MAE_no_weights_Thp,MAE_tot_weights_Pad,MAE_tot_weights_Thd,MAE_tot_weights_Pap,MAE_tot_weights_Thp,MAE_vol_weights_Pad,MAE_vol_weights_Thd,MAE_vol_weights_Pap,MAE_vol_weights_Thp,MAE_unc_weights_Pad,MAE_unc_weights_Thd,MAE_unc_weights_Pap,MAE_unc_weights_Thp,RMSE_no_weights_Pad,RMSE_no_weights_Thd,RMSE_no_weights_Pap,RMSE_no_weights_Thp,RMSE_tot_weights_Pad,RMSE_tot_weights_Thd,RMSE_tot_weights_Pap,RMSE_tot_weights_Thp,sigmaPaPOC,sigmaPaCa,sigmaPaOp,sigmaPaDu,sigmaPaNeph,sigmaThPOC,sigmaThCa,sigmaThOp,sigmaThDu,sigmaThNeph
3874,2P53874_PI,102.82825923022224,6.553076542135698,2.0988319034013556,0.7136884574796657,0.022654739210132592,0.2479007194055135,1.7603145471866466,6.140521473987238,0.03390599356573942,0.6048946265224828,1.8805039838690585,6.002706338610448,0.03799811471320384,0.569704657771636,1.816343922231449,7.571692185073363,0.03266063227482146,0.8517538603348469,1.322051858081524,3.960051196910028,0.024584472411217185,0.36225561540514295,2.3620872540159814,7.842526318768366,0.06210192961548502,1.324047859395156,2.4372591605788525,7.544199103190456,0.06167904460848159,0.8617427121911378,0.0312180883104488,0.0720743478304615,0.018885695857213,0.0404376199266785,0.010450878420745,0.0079196863017622,15.616542881090488,0.0360330046263142,0.0578930924547683,0.0248778218526798
3875,2P53875_PI,106.06811865330972,6.526199788226077,1.8852761740175654,0.7377688040041968,0.02335027955117468,0.24764433079613454,1.4890883761333378,6.108430763549107,0.0376473660327491,0.6060058616442945,1.458422812882703,5.923060555675148,0.03364261849549668,0.5698425198665907,1.4494314635192616,7.487928969703298,0.036416903383832556,0.8539655136683558,1.0359718984824577,3.9254482646224913,0.0226797586124185,0.3620305665291411,2.0698234600849097,7.834716733497592,0.06595185669059707,1.3237474977954904,2.0087933965862166,7.442588698114518,0.05935531264263854,0.8619271882996692,0.0449279941030752,0.0008334397519552,0.2857445518183952,0.0059988137571393,0.0030709739934598,0.2642004226838342,14.473320402165324,0.1225221676755523,0.0260949581569422,0.10542405543873
3876,2P53876_PI,51.07195366013732,7.455203635320369,0.8680232911967594,0.9016586746660814,0.02269955365015253,0.24792575485553534,2.404940300874709,5.9425567693465124,0.03431152430465619,0.6036341048193601,2.201588520025281,5.708734636557694,0.03727630670446516,0.5685751909522678,2.3568028683996882,7.2532242486308744,0.03277121786991664,0.8505627485974272,1.594373560299263,3.8004174740870993,0.02427545324684266,0.36091573584510134,3.0856852503648824,7.644385078134188,0.062137403077675284,1.3218586944792319,2.9110519222157554,7.199729097029423,0.06113922092245754,0.862038639235127,0.0346481742942998,0.1483211690990179,0.2757550501469147,0.0478121644089508,0.0393141239710483,0.1585779685992147,10.945465589829544,0.3548577975952419,0.0633991293095861,0.075260405740342
3877,2P53877_PI,53.59684216703225,8.594687667117167,0.8816580640849073,1.0592257072017384,0.02306807263238797,0.2455641529934571,2.1949986784283864,5.765769331188418,0.0336054551224281,0.6028208455855717,1.9018564180128277,5.57021947279523,0.03259561636146041,0.5689365707295927,2.0246253187581225,7.056555741890226,0.031084072992989376,0.8484212580973338,1.450427264839409,3.7090066763055276,0.02193078082220438,0.36153143504644303,2.8947180281394322,7.381652133982528,0.06146788102100772,1.322785244712162,2.6154572110603547,7.04226038615614,0.0575136381674141,0.8628409945119512,0.0290003515848936,0.3348020416790808,0.4064364225156179,0.0112658173420317,0.0198559813307449,0.0289882419210185,9.571424987868005,0.0424568325401583,0.1062551210506334,0.0164811490108882
3878,2P53878_PI,41.67433813346833,12.141746817517257,0.6914590754133906,1.680307310810957,0.022857297903361277,0.2477418021468885,2.58792617670285,5.028006207029547,0.03439013133133755,0.5984651645972957,2.4293819339866647,4.5926775839584595,0.037331284753815724,0.5664577210085384,2.553684035745257,5.897701283569565,0.03258030752674554,0.8448640588805602,1.7354005806781903,3.1847824490559593,0.024389818412290157,0.35804653250316615,3.277562318233956,6.567303341269094,0.061722940198392945,1.318536843411488,3.124471210884411,5.940839854696961,0.060734206917210855,0.8637570579882998,0.0019621549559237,0.3241348531529732,0.4167236541241699,0.0511164176990204,0.0172976148542965,0.038667408656599,5.22095427576579,0.3685893034110876,0.0738504459192387,0.0171505192845902
3879,2P53879_PI,47.59750148764324,19.26066922235385,0.7900694282800181,2.9509391288351736,0.023132320730496887,0.2436764541189481,2.4843891384693175,3.5836985269726496,0.0346690661947704,0.5996455219486768,2.3030169614721006,3.063702561189224,0.037904863888126195,0.5655813901172552,2.426657100196923,3.87267075466392,0.033042539178044034,0.8518202527776635,1.6669329054075421,2.2732351293677837,0.024651395150054396,0.3557045565132796,3.1674659307643096,4.976832447739628,0.061989569449573824,1.3153582277692064,3.0096978524339173,4.2127478855155545,0.061072245780870844,0.8661843242392099,0.0128253017418892,0.264575164423153,0.3482045147647087,0.0498054034472685,0.0066287416921899,0.2208066373130786,3.06268731738178,0.0690278545624119,0.0158749940101252,0.0333233769389957
3880,2P53880_PI,62.94780241553134,7.0512362601760605,1.1410264835493742,0.8233178513322897,0.02278163337416759,0.24634321909736717,2.203666708307178,5.976522744417942,0.03341118436858354,0.606311730767873,2.035561555883145,5.755315413529628,0.036625825139341685,0.5699656544062032,2.16491898353605,7.277675255757441,0.03180541187464234,0.8546555748306733,1.470371325795817,3.8394751628273154,0.023868780103410037,0.36191435560966995,2.8855882346133477,7.676931337154217,0.06167064702332102,1.3235851991255894,2.74672264462185,7.249148561286418,0.06052853239226993,0.8624198214576606,0.0367714560655403,0.1869053893180738,0.0998031789049384,0.0451196900994965,0.0427061478609124,0.2611488147226199,13.170904017078492,0.0353485178524418,0.0127273160352281,0.1022713717069657
3881,2P53881_PI,57.638239907828456,9.14601042861413,0.996372838971381,1.0452879399080148,0.02245915462770302,0.2528145210254549,2.2399125258398676,5.714532065550841,0.03565015936791934,0.6013455615045961,2.0097001463928943,5.488538928989073,0.03778108155796461,0.5676947213247935,2.1439271705859526,6.928264810921269,0.034293939108714554,0.8472399755043397,1.4894433971246992,3.680279049869857,0.02462470449401105,0.35995873336753914,2.913309264323646,7.318089939843946,0.0632211205263431,1.3219015670864611,2.7018093713875664,6.933779871190146,0.06189239289760815,0.8616974912373376,0.024274142590109,0.0746078803048623,0.3357491079485401,0.0350683771697359,0.0250128988197694,0.0165216227194436,9.583429898822285,0.3649945377365108,0.0772788896634859,0.0022928731312031
3882,2P53882_PI,127.52732087985187,11.005218348908414,2.479238715625946,1.5368899414383987,0.024418850585229527,0.24463126228201929,1.474425309070216,5.267166653028887,0.029896199022092073,0.601167613792733,1.7947130316247544,4.8745254733764565,0.024346855489284485,0.5671777742345864,1.6770508619813902,6.299276236344919,0.026263111057508212,0.8474071166616033,1.0973044983593618,3.3273399137874162,0.01764441395803141,0.3593344389778723,2.112133231478167,6.877586211245162,0.05837729861305233,1.3191784714382617,2.493782336188088,6.291130153937093,0.04902353041068944,0.8635003425387596,0.038586462466881,0.2716701499086956,0.0192936371278762,0.0005079538321193,0.0312351071207074,0.1487985071880308,5.646232924448161,0.1697371458917281,0.0875652022513192,0.0815209078772173
3883,2P53883_PI,42.56636563353051,6.314824563002498,0.6848999572044158,0.6681463295994426,0.023072337407269942,0.24968805296139995,2.552043442642916,6.226648240327056,0.03361979437169199,0.6037174347476819,2.368060573048486,6.108255168263831,0.035920566443401004,0.5688357867874075,2.4887134161436797,7.708309261499963,0.031635841700881344,0.8500639777301241,1.7141384529309625,4.016700520756149,0.023541257991438927,0.3619040504742827,3.2386642778224215,7.944550979134518,0.061228127716430214,1.3236666712090115,3.063006378978369,7.66543870600788,0.059750317547085506,0.8607367090036416,0.0385492365374975,0.3788843286116882,0.3884528268963667,0.0372869017525856,0.0239310009622086,0.1085460078185269,15.584935055404156,0.2270781722566343,0.1052281179159772,0.0182649854843177
