run_ID,runname,MRT_Pa,MRT_Th,median_Pad,median_Thd,median_Pap,median_Thp,MAE_no_weights_Pad,MAE_no_weights_Thd,MAE_no_weights_Pap,MAE_no_weights_Thp,MAE_tot_weights_Pad,MAE_tot_weights_Thd,MAE_tot_weights_Pap,MAE_tot_weights_Thp,MAE_vol_weights_Pad,MAE_vol_weights_Thd,MAE_vol_weights_Pap,MAE_vol_weights_Thp,MAE_unc_weights_Pad,MAE_unc_weights_Thd,MAE_unc_weights_Pap,MAE_unc_weights_Thp,RMSE_no_weights_Pad,RMSE_no_weights_Thd,RMSE_no_weights_Pap,RMSE_no_weights_Thp,RMSE_tot_weights_Pad,RMSE_tot_weights_Thd,RMSE_tot_weights_Pap,RMSE_tot_weights_Thp,PaThWs,PaDesConst,ThDesConst,sigmaPaPOC,sigmaPaCa,sigmaPaOp,sigmaPaDu,sigmaPaNeph,sigmaThPOC,sigmaThCa,sigmaThOp,sigmaThDu,sigmaThNeph
1809,1P51809_PI,69.9862098051586,14.442753419030142,1.1943787819998513,1.8749023709975723,0.03171687674757038,0.35024447681215926,1.8694446498522486,4.515805594131826,0.037595037212601094,0.495145435663635,1.6103420459444708,3.9100202144992027,0.04066888024378748,0.5831044238324157,1.695674721666005,4.937295875616296,0.03648662441826166,0.7077825415745334,1.2353867663849012,2.8716964770899542,0.026517989397418413,0.3439540383309331,2.5254356361556556,6.00394163151239,0.06659994696935514,1.2199000013345587,2.221008638345163,5.1802769531479935,0.06839106936705891,0.9064029820047059,1000,2.4,2.4,0.03824563,0.066975157,0.386418552,0.008481081,0.031844934,0.215941693,4.747266699,0.393940102,0.010550142,0.015048073
1810,1P51810_PI,106.73787177001617,18.527306470014867,2.025503885199978,2.6987104896053875,0.03377597856186474,0.3438742136232278,1.557735180015644,3.7304577990837617,0.032499251194000225,0.4937662512343504,1.6482083307428912,3.1568175671305694,0.03390768650149196,0.577007483488948,1.588352381575808,4.007536506601536,0.030470608432616474,0.7022240683154468,1.117510700516895,2.3473331611144856,0.02284463911725712,0.34240270159949426,2.1160063123174,5.209330999753705,0.05933174798240597,1.214744368364672,2.1682296572023567,4.394999244441035,0.058159977936141485,0.9029859776540295,1000,2.4,2.4,0.022383414,0.261679487,0.060503296,0.003691724,0.045096588,0.247401586,3.374473665,0.090208187,0.003180417,0.058451182
1811,1P51811_PI,63.88504685887796,8.537823575911947,1.1381464589742627,0.9960017867301232,0.032081677648248014,0.34461849037410774,2.189343746769183,5.866966386973895,0.03596779295767974,0.5036254994542013,2.00771799472725,5.673360501290465,0.049347961266728364,0.5876586893786917,2.1329797673692883,7.203140983718656,0.03706547731939162,0.7204495421568033,1.4638822121003012,3.758503271235013,0.030307584186429103,0.34789111937188766,2.859148106175998,7.536670929775737,0.0632265010330789,1.224959724978486,2.700326575883722,7.162831573578241,0.07578469841583903,0.8996757753994404,1000,2.4,2.4,0.029558948,0.0914317,0.173614706,0.042691461,0.044617217,0.068102343,9.978143741,0.027542836,0.089041488,0.079169337
1812,1P51812_PI,82.64236860273625,6.986057399896043,1.5558290058465718,0.71801551807982,0.032372386106478884,0.35071748216576953,1.9384071000019978,6.189758337740711,0.03639472659517963,0.5034537863677047,1.8705332220327533,6.042916374787979,0.05168252622179015,0.5867928635068702,1.9093574003992078,7.649801509990836,0.03833177958977322,0.721461620619967,1.362697013072985,3.973619126471095,0.031495060577759464,0.3476231833987347,2.6069617339375,7.928639780113712,0.06263183798924056,1.2256970861230887,2.558370983515446,7.589668886263806,0.0764076268827146,0.8958873248442506,1000,2.4,2.4,0.017370204,0.245271512,0.025812411,0.039044192,0.00964,0.08869767,13.72893333,0.384185966,0.092775342,0.069461042
1813,1P51813_PI,55.44415916741611,11.027211871109213,0.949062343552927,1.3285231960907355,0.03175119204929418,0.34754701133176635,2.3502030800114895,5.411672997748635,0.036405073045488304,0.5013837416594399,2.1550138625070883,5.132681431388839,0.050084495553823834,0.5889835330810775,2.3136055797859028,6.497694211272603,0.03762886938525605,0.7188464742605679,1.5569351123438757,3.4884331665709936,0.030694318069610767,0.3472177941277892,3.02462346061109,6.944109411242128,0.06369490481032139,1.2249014305420782,2.862835174167968,6.518846538075591,0.07656453998871386,0.9051825151246996,1000,2.4,2.4,0.043688092,0.030526732,0.237979262,0.053887607,0.052610258,0.27637857,6.714290579,0.111649376,0.083044624,0.015191892
1814,1P51814_PI,55.400331700292405,10.579665347544253,0.9314645620322669,1.327056134606691,0.03236654816890738,0.34804276440217236,2.2967555450006296,5.442893009544041,0.03733430289474117,0.49974476447523036,2.0537497868823356,5.082549477789533,0.049713721959824826,0.58705315642527,2.181255617432864,6.5148388122780885,0.03796780391124984,0.7151266194263468,1.5337440288434077,3.459215385905388,0.030713591773914674,0.3464478578185423,2.9846099450993493,7.056495174414959,0.06509522345112574,1.2214603489079532,2.778087752340014,6.4951913990494194,0.0760740150711794,0.9035065935160986,1000,2.4,2.4,0.00733106,0.192562913,0.368880034,0.033039715,0.005880329,0.23847461,6.498929391,0.277169254,0.067815972,0.074495933
1815,1P51815_PI,41.150891446755764,13.999565187249033,0.6590865213434877,1.9439513312963208,0.032475838896853036,0.3440442374468738,2.606611837869045,4.632505108744858,0.03620651072252377,0.497111586988347,2.451326418031232,4.090737541118292,0.0488945301082312,0.5854649875943935,2.5701878840408443,5.264358625152828,0.03699818285916204,0.7093614014746621,1.7530042071001117,2.9166611863935947,0.030148973272239928,0.34572903399426547,3.29613849803503,6.154047838286071,0.06276213744219303,1.218815235147781,3.141470515726376,5.402054217267698,0.0743818733816609,0.9078728932568968,1000,2.4,2.4,0.031529846,0.415109427,0.342982607,0.041795176,0.047880493,0.115098066,4.825500113,0.15630426,0.026422871,0.057850431
1816,1P51816_PI,46.65572624293682,8.420362669555374,0.7963990382690177,0.9500946986055518,0.032204968024659324,0.34861788494492507,2.534828978115905,5.814318756589717,0.03647882501508947,0.5018873153870236,2.4144491070092196,5.5461119955666085,0.05071482038574163,0.5858362767737783,2.5283240980227815,7.035538566140947,0.03794118746454365,0.7176927902864502,1.7069889852438938,3.716635075747099,0.031045409793468037,0.3468253940523716,3.2240200019303713,7.492992916977909,0.0626041705585851,1.2238580413339986,3.1101495140697315,7.0184990240005085,0.07547085061507569,0.8985449183822205,1000,2.4,2.4,0.013492776,0.451379739,0.139853461,0.053140385,0.042707507,0.035839065,10.81504417,0.373021787,0.024542679,0.060582235
1817,1P51817_PI,76.31431399528861,20.67304222126473,1.3387572991574153,3.3257767008399135,0.03091081210032347,0.33976659871637616,1.6904610835359035,3.8248141346238977,0.03628809767933455,0.49591899269605527,1.4904293074129842,3.590379895988855,0.03353393257866505,0.5916704950810434,1.5619833759205262,4.5673189908672445,0.03370174103726941,0.7119459792678711,1.112181864389643,2.4760805366706222,0.0231277154562591,0.34806797266752865,2.3714734053497932,5.267121402609669,0.06591330029732864,1.2208246206569136,2.0823106246781133,4.852799175156844,0.06277360467347637,0.9187234835198002,1000,2.4,2.4,0.019506779,0.121633992,0.353482538,0.002381747,0.05024196,0.004842683,2.152693215,0.077733068,0.095005404,0.068054371
1818,1P51818_PI,45.76602515071797,8.250985493915081,0.7755397199247076,0.9270973386608675,0.03180629503815782,0.3463437847355311,2.5249344978736805,5.885153185770654,0.03677592852449701,0.5037523552652017,2.354041205088117,5.676580711869461,0.05012431403930061,0.5872239025728728,2.5008319657526097,7.191587048647256,0.037721982702462326,0.7202928756466159,1.6838676433989288,3.7751874285254874,0.03084277237588757,0.3477673415591468,3.210656979704135,7.556485354140539,0.06387398166075915,1.2251718494134693,3.053700812747455,7.16751146770418,0.07628463242931538,0.8991708090350978,1000,2.4,2.4,0.006926589,0.175532051,0.348842679,0.054843975,0.043298417,0.060863125,11.27486764,0.058714985,0.047993633,0.066411238
