run_ID,runname,MRT_Pa,MRT_Th,median_Pad,median_Thd,median_Pap,median_Thp,MAE_no_weights_Pad,MAE_no_weights_Thd,MAE_no_weights_Pap,MAE_no_weights_Thp,MAE_tot_weights_Pad,MAE_tot_weights_Thd,MAE_tot_weights_Pap,MAE_tot_weights_Thp,MAE_vol_weights_Pad,MAE_vol_weights_Thd,MAE_vol_weights_Pap,MAE_vol_weights_Thp,MAE_unc_weights_Pad,MAE_unc_weights_Thd,MAE_unc_weights_Pap,MAE_unc_weights_Thp,RMSE_unc_weights_Pad,RMSE_unc_weights_Thd,RMSE_unc_weights_Pap,RMSE_unc_weights_Thp,RMSE_no_weights_Pad,RMSE_no_weights_Thd,RMSE_no_weights_Pap,RMSE_no_weights_Thp,PaThWs,PaDesConst,ThDesConst,sigmaPaPOC,sigmaPaCa,sigmaPaOp,sigmaPaDu,sigmaPaNeph,sigmaThPOC,sigmaThCa,sigmaThOp,sigmaThDu,sigmaThNeph
1000,KDE1000_PI,45.73290876661141,12.301665542636004,0.9016133192340409,2.193772635325774,0.021970147431029888,0.24239799471708906,2.212906427222189,4.770472600206795,0.03391212090417358,0.600919369754085,2.01121816715038,4.374515465754878,0.03079383151367797,0.5634344132899775,2.1545199109072892,5.798332248450775,0.030921860693169413,0.8486895792093986,1.4370477996732853,2.8967658248224386,0.021197020958297917,0.356200210845652,2.2229872274334235,4.389635752446173,0.04367105779082463,0.6087913092280782,2.9627021232371398,6.498508864686949,0.06161404084334417,1.3165162946580748,1400,1.0,1.0,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1001,KDE1001_PI,56.903301589269894,15.311555198147062,1.0822590276467803,2.6478434497407974,0.02204757536855099,0.24242224551837815,1.981895480743028,4.195562022323693,0.03439504040479034,0.6004815059817113,1.7157804608627034,3.658338938097163,0.030349959518398147,0.5633399323559003,1.8603718768490913,4.8889965187480815,0.03157510918943814,0.8496044072381723,1.282053462219222,2.5372616672218236,0.02099192800290074,0.3556486857796375,2.0198437493674417,3.890650685710947,0.043723408260411524,0.6091511212409012,2.714979709020524,5.848926572823326,0.062366134258395906,1.3148886062018135,1400,1.5,1.5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1002,KDE1002_PI,67.66483160229151,18.264176400703217,1.2635381217617834,3.091223895464062,0.022143823291534054,0.24212465221697893,1.8041450330749593,3.7223266603606273,0.03477767844603742,0.6001926993991732,1.5578506757971102,3.1894864756019703,0.03005029991102552,0.5631712011573615,1.6584066311229062,4.249960640656425,0.03213262923904446,0.8509966446219956,1.1807538773194903,2.259045083897394,0.020841986622322266,0.3550263402846576,1.856404306077616,3.492094548185456,0.04370705347404239,0.6092745840320144,2.5061403117136,5.304115102813825,0.06294299487154316,1.3136885465097432,1400,2.0,2.0,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1003,KDE1003_PI,71.87332854557911,19.431660688154867,1.337873190287749,3.268888799493076,0.02225461153959589,0.24230064344624863,1.7460986579445972,3.559745063818144,0.03490792283809834,0.6000886254537959,1.518251433985395,3.056551540254402,0.029954640596181737,0.563036349178698,1.603329576272535,4.055188405674765,0.03232621035229856,0.851569979964035,1.148944289759795,2.1671725141070666,0.020795806867132477,0.3547513422570328,1.8019657723374307,3.3677664046540374,0.043693047749576296,0.6092715333572852,2.4329721004641476,5.121284843267495,0.06313296860431011,1.3133025246440677,1400,2.2,2.2,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1004,KDE1004_PI,76.03290383083805,20.592217855097797,1.4121801052255496,3.4499350487371445,0.02231409549201904,0.24191469515304842,1.6952244124256481,3.420274819488502,0.035026041509345025,0.6000217187877028,1.4940721240561652,2.97059588875804,0.029863453149844246,0.5628807905566574,1.5618331116872761,3.9058376873089,0.03250490410942876,0.8521915787019165,1.1231285894419973,2.094465849609552,0.02075181341837275,0.3544735364114393,1.7538477180741712,3.2665872545520354,0.043677765227519656,0.6092432265601754,2.3656421883546788,4.961247388999407,0.06330327902656746,1.3129611782564503,1400,2.4,2.4,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1005,KDE1005_PI,80.1468804747412,21.74630683337221,1.485909212520684,3.626577379090921,0.02238058644962516,0.24155656188758778,1.652451449393318,3.30215617267897,0.03512527493927401,0.600060932750342,1.4833891169360705,2.9239522155675055,0.02976493047764439,0.5627284185758232,1.5352575884201944,3.802807867209339,0.03265937778838829,0.8529501790334664,1.1028544955363517,2.03606466215408,0.02070291787204485,0.35420390977092925,1.712141571355296,3.1904047753986426,0.04366245276429511,0.609192259037322,2.3041503081874692,4.825825277388914,0.06345612236747004,1.3126593573511662,1400,2.6,2.6,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1006,KDE1006_PI,84.21819833179401,22.89433394847658,1.5560545812214888,3.8029241775098486,0.022468474606949573,0.2417674532340881,1.6128209977695602,3.2005391880104863,0.035212485967359486,0.6001214583265653,1.477676822061706,2.9091673095155297,0.029667799657832627,0.5625512842575545,1.5135136881412374,3.731283444430859,0.03279935702798286,0.8537313468669133,1.0850437130644621,1.9913023836566475,0.02065464647966311,0.3539280823645972,1.676950719936705,3.1406912465386836,0.04364797357113515,0.6091209011628704,2.2485284810935364,4.716712337814549,0.06359348626430289,1.3123924745364448,1400,2.8,2.8,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1007,KDE1007_PI,88.24947282729418,24.036660679430792,1.628125293162625,3.9790285626112354,0.0225518922407125,0.24180146087983145,1.5757890919861348,3.1132539545566553,0.03529016478562251,0.6002274210756489,1.4761623877633279,2.918795790767246,0.029571750052040175,0.5624214049031303,1.4954398801379378,3.6841660018747695,0.032930166882450665,0.8546085470546573,1.0693567591707396,1.9581618791697089,0.020605455506196926,0.3536727328126882,1.6483744449550057,3.1183765209266308,0.04363490132298663,0.6090311505144587,2.1988330648680843,4.63535737501123,0.06371714791007005,1.312156454463089,1400,3.0,3.0,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1008,KDE1008_PI,92.24304135057115,25.17361019919016,1.700138138842934,4.160074171840275,0.02256229884033465,0.2415894536402068,1.5436442033160598,3.0380519426916237,0.03536197566783134,0.6003476669863927,1.4822229434387555,2.947330798152336,0.029475576096019397,0.562292479407051,1.4838563425178242,3.660164227505765,0.033050074786841535,0.8555152864985925,1.0575773092441418,1.9327647508206491,0.02055595606253546,0.3534187778298148,1.6264921944142967,3.1237248846569985,0.043623594754572496,0.608924777874264,2.155136119613644,4.582846272468767,0.063828685450967,1.311947685669183,1400,3.2,3.2,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1009,KDE1009_PI,96.20100066945248,26.30547290800403,1.7714194684730131,4.336912466773221,0.022600311163209475,0.24163574232621507,1.5154779822642788,2.984240802329318,0.035436362483916954,0.6004672893890883,1.4934908764656531,3.0034550834334297,0.029389109864151157,0.5621390004128148,1.4774531077867739,3.6792701601106907,0.03317063681607039,0.8564135799103928,1.0485549433974868,1.9185381561153472,0.02051047485543873,0.353157707926367,1.6113491372061464,3.1562881600433834,0.04361425559569675,0.6088033660174392,2.117516201416993,4.559799812775977,0.06392949385529559,1.3117629737865684,1400,3.4,3.4,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
