run_ID,runname,MRT_Pa,MRT_Th,median_Pad,median_Thd,median_Pap,median_Thp,MAE_no_weights_Pad,MAE_no_weights_Thd,MAE_no_weights_Pap,MAE_no_weights_Thp,MAE_unc_weights_Pad,MAE_unc_weights_Thd,MAE_unc_weights_Pap,MAE_unc_weights_Thp,RMSE_unc_weights_Pad,RMSE_unc_weights_Thd,RMSE_unc_weights_Pap,RMSE_unc_weights_Thp,RMSE_no_weights_Pad,RMSE_no_weights_Thd,RMSE_no_weights_Pap,RMSE_no_weights_Thp,sigmaPaPOC,sigmaPaCa,sigmaPaOp,sigmaPaDu,sigmaPaNeph,sigmaThPOC,sigmaThCa,sigmaThOp,sigmaThDu,sigmaThNeph
2525,3P52525_PI,73.9387433487872,24.094567306552626,1.4101455115989325,3.833744999338585,0.019403266280218982,0.2172692981171318,2.024057487739665,3.5024972948356394,0.03484889248474972,0.6376420378073234,1.3767243033489573,2.2998269378390424,0.023038256005309003,0.3673299391641908,2.03307199801981,3.458831109151867,0.04523957056597408,0.6267994160182626,2.67896369667603,4.9057600586311905,0.06373019422639403,1.3534714383772213,0.0404228052089913,0.0472845631214646,0.0828551789230474,0.043347733134616,0.0555734915071237,0.2306848186720182,1.2958194713044489,0.1984352200604352,0.073595939043991,0.0367701982501125
2526,3P52526_PI,176.87007558471473,28.818690238991735,3.8442860351635466,4.281258869675655,0.02207025745874221,0.22598093806436104,1.9552503295632466,3.1772497496421472,0.03431933645400411,0.6358751790023569,1.6346351023764887,2.2354462073595043,0.02295285393013803,0.36871480552034014,2.3576546232852214,3.290712675735662,0.0446798010188436,0.6292515725005967,2.644026928984615,4.284325576481372,0.06282312501001151,1.3616816559050027,0.0231005763574092,0.0438574704010407,0.017676499877052,0.0213741053352725,0.0019911760761267,0.2447893191837092,1.40120337931649,0.0399337449090524,0.0798353152616785,0.00018246749791
2527,3P52527_PI,118.61499057985496,23.28833186502471,2.308274359342011,3.70939055732137,0.01982578061059982,0.21521905711296924,1.4167547405141643,3.3381370365631153,0.03626028840855726,0.6403049631901409,1.0698082214439049,2.094897921596024,0.020075516044053682,0.36476488056885364,1.670455281106741,3.286043668885011,0.04299491692234922,0.6230582710720077,2.0047982812482665,4.8688017458498765,0.06471493361945437,1.3495343079458109,0.0250530267328486,0.0704650722771963,0.1558327489751929,0.002138962724617,0.0411513456782825,0.218666223925868,1.7145797841598576,0.2129278276447193,0.0300936751449062,0.0811337907458055
2528,3P52528_PI,87.19523168487338,22.95235941260817,1.8587269945549123,3.6809244829876193,0.01823661879424762,0.21604482124175334,1.8983902457133015,3.4920134807139114,0.035611085759758715,0.6383835673780214,1.391176423722217,2.2500226445234683,0.024038717173247227,0.36697658685440326,1.9680078285076799,3.374327601619425,0.04612673194025352,0.6257082492842648,2.5240148426290228,4.892527947869186,0.06428050422056977,1.3521733721113713,0.0121001118089606,0.0445741336659213,0.036947799611748,0.0505857235371486,0.0205317579453857,0.1766460911387271,1.640466993177141,0.2074998994361372,0.0570814835284313,0.0406560996487801
2529,3P52529_PI,117.08045974386572,26.198087947154338,2.723006157970862,4.450137143035735,0.01714655145391948,0.2133504506021771,1.7876034371547143,3.3667781571168973,0.036824167875161545,0.6392197895344921,1.488121263324863,2.3033367615656353,0.023713502467687733,0.37046489163639945,1.931109654688426,3.45636999944705,0.046143818970350886,0.6297340686280518,2.282476196245306,4.750036755533555,0.06573088068496882,1.3570332387813733,0.0144442137365146,0.0002067458136168,0.0302817490362909,0.027886350682123,0.0493596826732529,0.0728725475182184,1.2487969950048217,0.0979310737573144,0.096542029935236,0.0322877881062996
2530,3P52530_PI,119.13305057167305,22.965839202480225,2.3592026717175916,3.6058312699568664,0.019617665823998136,0.2175760669351622,1.4338162776974124,3.72095817640966,0.036351707591007046,0.6373606455566659,1.1172458654502342,2.443214481984425,0.020175158770672896,0.3682348000231017,1.6787436217538143,3.6310878760419376,0.043266454736704374,0.6277371053414085,1.9970899958761623,5.184311751761461,0.06494293238830659,1.35504737167181,0.0150507468466002,0.0708671860395628,0.1551177620406389,0.0031394581338049,0.0386245520772242,0.2623519956870478,1.0978381301990068,0.1924600348284394,0.1092029423281004,0.048430720990415
2531,3P52531_PI,89.38573830191199,24.123509741398404,1.7002164114706178,3.919422535607627,0.019962796300993374,0.21483755537271754,1.8248983061251758,3.4434178172440943,0.03539199305033125,0.6399011761016488,1.2930487962669797,2.204155184112417,0.022809550235747787,0.36654347817215466,1.8420786943144343,3.4147946149386157,0.04514901565369691,0.6253009784666248,2.3979582229345935,4.963974039363027,0.06406447800277491,1.3516454263447732,0.0328761911177583,0.0263412621071707,0.1178392085601984,0.0266516236817877,0.0364555149134868,0.2096819904726097,1.409407082830875,0.1658595048629894,0.0544739157190261,0.097955597356286
2532,3P52532_PI,85.38968764439207,23.98924224279503,1.8803209276866872,4.026045653574082,0.017089629554558627,0.2104685731881559,1.9127879217713155,3.5146799855845625,0.03616652759053618,0.6406135095563084,1.389411406436023,2.3360401563970568,0.024013291776799082,0.370296692276163,1.9640446175741797,3.4979192638046137,0.046234258809862754,0.6295182878508608,2.547593126515007,4.981597572269096,0.06488803556354533,1.3571998265571585,0.0231136264265306,0.0034480681047992,0.0216268494051915,0.0528710681739883,0.0436843481702743,0.1324568995619834,1.388713994573224,0.030223092074044,0.1040093925900289,0.0667215854991025
2533,3P52533_PI,69.8751822565994,21.48955339527106,1.2840812192674476,3.4789333757740306,0.01962773766217122,0.21272815585003718,2.075950313914037,3.727092466291988,0.03531983901866566,0.6401657323189766,1.4039855211909837,2.392388710074146,0.02335511067943913,0.36858552132096073,2.066739946949332,3.5634709385242194,0.0455660156859808,0.6271522048395994,2.727400848167514,5.232011266228958,0.06391119363020269,1.354516765999717,0.0306261163385419,0.0414318224775154,0.156426841236805,0.0405702083301084,0.0380465950926191,0.198885991635041,1.6247436151390573,0.0941753953198556,0.0873539054981203,0.0966089859606263
2534,3P52534_PI,77.34621703483226,22.905232922093376,1.417582429224669,3.6978363104193472,0.020223819582971994,0.21437162807203228,1.9738296014484282,3.4743581758178554,0.03466148173715484,0.6401984191692417,1.3517762662880572,2.2089290876481216,0.02286425443575489,0.36666330838084765,1.994888087190591,3.361328113181452,0.04501118435490392,0.6251248670147452,2.608913721606474,4.951478626894406,0.06328516486722394,1.3516244855161506,0.0426164923238737,0.0673694864355723,0.1222527705338202,0.0348730609446708,0.0247143615354788,0.2126655066737423,1.669970511373435,0.1410668517187651,0.049348317520799,0.087210359107405
