run_ID,runname,MRT_Pa,MRT_Th,median_Pad,median_Thd,median_Pap,median_Thp,MAE_unc_weights_Pad,MAE_unc_weights_Thd,MAE_unc_weights_Pap,MAE_unc_weights_Thp,MAE_no_weights_Pad,MAE_no_weights_Thd,MAE_no_weights_Pap,MAE_no_weights_Thp,PaThWs,PaDesConst,ThDesConst,sigmaPaPOC,sigmaPaCa,sigmaPaOp,sigmaPaDu,sigmaPaNeph,sigmaThPOC,sigmaThCa,sigmaThOp,sigmaThDu,sigmaThNeph
1043,2TU1043_PI,119.05073913109874,13.353180959798319,2.557353198453824,2.3203798447425266,0.018375904,0.19722024660126322,1.3727496948459683,2.780100239359506,0.021774973,0.3768345079685821,1.6776928270512228,4.528678366,0.034641181123760925,0.6639062594264125,1726.4391491976526,3.675282259004037,1.6632884331418831,0.004070299,0.1322695531844873,0.018526043,0.018633164,0.01152486,0.1260407308239972,2.0908115346105034,0.086909822,0.020659205,0.016134077
1044,2TU1044_PI,44.82690750360004,16.759054417357575,0.8994853700674594,2.8779631177206895,0.013506472905370916,0.14705535792488827,1.6653887405206607,2.526588206513639,0.02166084,0.4065317709554421,2.4898488407917445,4.064578853378318,0.037817811494305645,0.737626726,2306.371326937261,2.769221049306797,3.742970412856371,0.005054306,0.2029559472489229,0.1246796415607548,0.026929876,0.022066742,0.1060991872330204,1.923157614892176,0.1121150903926502,0.051020378,0.022254583
1045,2TU1045_PI,73.53371735602302,26.49677938170884,1.592151990996564,5.516085458189325,0.00973131,0.11071796643225056,1.4088708929064189,2.251587818840171,0.022413835602388205,0.42609185968712726,2.0138377423896805,3.2099870218468487,0.041633087,0.7937278888428396,3051.303722949325,4.488876842227326,2.827366328912848,0.011457226,0.1151677453794696,0.02190863,0.027217819,0.015613432,0.039270632,0.5229111244235131,0.1008903228317649,0.027817539,0.018611034
1046,2TU1046_PI,50.94568917021008,3.852076874673357,1.067015937882565,0.7697624617999281,0.007225131,0.080973103,1.5241614200317966,4.023331297128668,0.023891100824859755,0.4504915300594019,2.2870619598915973,6.395686203174664,0.045219613,0.8431176095215808,4207.392044874739,4.295653305208413,0.5455572588385282,0.003103097,0.088193632,0.1818373366037368,0.014979371,0.007824708,0.1187267127247596,3.83682347,0.096200448,0.041662719,0.008096068
1047,2TU1047_PI,60.7047984,14.695718053429239,1.5276411928855524,2.057368952341625,0.018638936756801908,0.21376942487404316,1.5771872633181678,2.859404092634383,0.023448839345548082,0.37044578038365833,2.2527337034067427,4.4309835272210325,0.034927252,0.6415873956837951,1596.5847149461774,0.7636517568501144,4.771742186210274,0.014672541,0.059858006,0.006406333,0.022341132,0.006474916,0.099139337,5.602034243993943,0.053455096,0.039601974,0.009353192
1048,2TU1048_PI,69.58713122,22.876968783095393,1.287449334444627,4.4297469504967255,0.016656331,0.17566522328697284,1.3455836511391361,2.3726869547476688,0.021567620858468854,0.3883930549146992,1.9954993696749488,3.6103823806468216,0.03649697,0.695772853,1955.0443941141373,3.6136434374939546,1.8214723095168348,0.017268563,0.1585909534161425,0.177324302,0.016769033,0.005183507,0.080563208,0.4277684544306472,0.1456771276932094,0.052592538,0.027101648
1049,2TU1049_PI,34.298012497705464,8.110246279538824,0.7217548204728954,1.4988173658038966,0.010131360305247177,0.10869583368903847,1.7948589722759016,3.4682614911740695,0.022183148,0.4322528556848901,2.6711870142826495,5.564290648906476,0.040950898,0.79799501,3081.798395199513,2.052618399974849,2.477328652395988,0.008041551,0.1849615807949789,0.1709153440610546,0.019824632,0.004901326,0.038204535,3.3212881215008885,0.009123339,0.043270047,0.029308856
1050,2TU1050_PI,57.553889414258315,14.094771009942566,1.0892287828461003,2.4272834854485112,0.011003114574223656,0.11749016806783283,1.4321091191459348,2.700470249836444,0.022057827514627152,0.42467608109945354,2.1580053015498892,4.367960707451534,0.040560865027787094,0.7825841827422821,2847.2122055426125,4.883860375470088,4.782460727266907,0.008871626,0.1664959215407972,0.2135616032111993,0.015866984,0.014752836,0.036605171,2.957499009465667,0.059267136,0.034522351,0.020617281
1051,2TU1051_PI,58.27824142996799,14.37242599183815,1.2479520134426236,2.6592497069358902,0.008052521,0.089297134,1.498046446148971,2.608431202183459,0.022830544836283828,0.44197684038864515,2.228016357545004,4.321993003871108,0.043431471586331455,0.8270488676674954,3780.654548206373,4.169686165,4.740046758984222,0.016403035,0.1921284910445841,0.01864921,0.021398993,0.011108382,0.060890298,1.7386565393436155,0.1975619240146425,0.037662429,0.035372341
1052,2TU1052_PI,89.90685362198755,7.786054628505252,1.8988118753565755,1.097980698,0.016602091678215605,0.1795120110699054,1.3331411746724884,3.654356056167535,0.022015468,0.3924110798744029,1.8240948195023734,5.750916658052517,0.036035360627439325,0.695475838,1920.6556784098248,3.030152887,2.776780366137813,0.015451995,0.1022503001462802,0.029995684,0.024087896,0.006777935,0.040076883,6.592209912052568,0.1715010337296104,0.03730934,0.012092836
1053,2TU1053_PI,34.207856970941485,10.268362390035852,0.7365089116479053,1.8786311059538412,0.015047690687377154,0.16440486406442348,1.7666052599455484,3.225993552493949,0.021633842,0.3979111632703015,2.6463382890666285,5.240187984989776,0.036746304,0.7123738955837031,2059.762327185779,0.7988884144938977,1.6038653715768554,0.020486727,0.075759786,0.1711781775227464,0.014344672,0.005612766,0.1095768448636114,2.032367285392194,0.1101472706021031,0.052093142,0.043853993
1054,2TU1054_PI,117.90877961498157,15.502760970585687,2.2031104876969265,2.099457003509641,0.039149555,0.39729916374912605,1.237683613025389,2.850480640841829,0.035622872618151835,0.3579189679447493,1.627420448045345,4.444801270149509,0.040966545,0.46740381424551253,865.0215630551479,2.601028746452589,1.8607297744510776,0.009123179,0.043571132,0.1744002760282205,0.024426707,0.003166103,0.1090826117761501,4.390442518768246,0.008012348,0.02831555,0.01637701
1055,2TU1055_PI,64.03612158496401,2.929915548802612,1.5326346485231979,0.5053637040644321,0.00891728,0.096675809,1.4513288285989676,4.203075188495406,0.022770877943208603,0.44121262880666723,2.105790227234536,6.638015275859332,0.042889622815503514,0.8199849988977865,3541.3969762058123,1.3250801643296737,0.6553832023567008,0.015098544,0.06348414,0.037483399,0.010758471,0.000512202,0.091645897,6.7353683830508295,0.09481271,0.049814412,0.023981908
