run_ID,runname,MRT_Pa,MRT_Th,median_Pad,median_Thd,median_Pap,median_Thp,MAE_unc_weights_Pad,MAE_unc_weights_Thd,MAE_unc_weights_Pap,MAE_unc_weights_Thp,MAE_no_weights_Pad,MAE_no_weights_Thd,MAE_no_weights_Pap,MAE_no_weights_Thp,sigmaPaPOC,sigmaPaCa,sigmaPaOp,sigmaPaDu,sigmaPaNeph,sigmaThPOC,sigmaThCa,sigmaThOp,sigmaThDu,sigmaThNeph
1211,3P51211_PI,78.89237606541799,23.32223917409823,1.5458178262824862,3.8689022414416163,0.019642787,0.21344305520352028,1.3962185072041662,2.244483145761448,0.024065057660113208,0.3673047719715971,1.9884349618918344,3.5173420850017645,0.035550788,0.640160968,0.012539125,0.052559892,0.098936223,0.049859118,0.011823893,0.1114821149701725,1.532526792657757,0.1891115899118103,0.061050225,0.1071256871000833
1212,3P51212_PI,85.67076987,76.31657648365561,1.6460038432930446,12.753970525218946,0.01964342,0.2353057461301963,1.3299014969697822,6.124255916393715,0.023670170262703356,0.35733312217977775,1.8767565772795984,9.192409261407871,0.035823231,0.6374154177046517,0.024007028,0.006529431,0.1247425701062311,0.034744027,0.02625873,0.2410573582520407,0.3384615665837213,0.01384221,0.011578264,0.004590976
1213,3P51213_PI,70.83223297447805,29.32976452114257,1.3087711778228588,4.869361717477038,0.019685691842368562,0.21347336751823362,1.3996238827305651,2.181450963316957,0.023321498528256764,0.36888551862246893,2.0725831519099915,3.221935163925067,0.035070142157626556,0.6403576021136732,0.041679218,0.022276999,0.1296267248880908,0.044650031,0.038922618,0.2450833015691743,0.9624050154397756,0.028720669,0.071875312,0.065661431
1214,3P51214_PI,64.85241870763475,26.001100862225197,1.2112116330120823,4.163784481560036,0.019346455,0.21711615253198618,1.4620577446794403,2.2684252201997204,0.023648172366805605,0.36786334992710185,2.1784289992702868,3.4028210384366795,0.035216848399374785,0.63816747,0.028638088,0.032002381,0.1305927443006508,0.055754552,0.039220702,0.2720487156374753,1.0649119142304648,0.1322518170285351,0.077417999,0.046171744
1215,3P51215_PI,110.19684914947679,87.35288440689371,2.1009941691459164,14.622989984940428,0.020783510722664874,0.23879241037757068,1.142859004597333,9.789222795,0.021860536099224018,0.3562410411306016,1.5504263192607912,13.859043664797563,0.036217276778315516,0.6523455996905793,0.02042256,0.058489038,0.1704935962369859,0.010688132,0.009874092,0.1533896769025926,0.1932286017184452,0.196562343,0.003604752,0.001085572
1216,3P51216_PI,95.61269091807907,28.47828707135706,1.864138414002059,4.821788846081318,0.019551387,0.21243105718657426,1.2251183919983595,1.978307536246307,0.021980958637974363,0.36520690912989895,1.681600131428418,3.0300154287366556,0.036428472,0.6421545954415875,0.011341734,0.05486659,0.1615053210866017,0.013570116,0.048233434,0.1598512000367576,1.3103114711180703,0.1023304970901716,0.031639475,0.1179103340680132
1217,3P51217_PI,100.27031940642127,35.04124939,2.096548294063008,5.940233496886261,0.019208861227967236,0.21624707622576975,1.325279079677123,2.2298836886830387,0.022406355716933616,0.36755772191724534,1.7828807905815391,3.222014179194196,0.034501929,0.6417290453904936,0.037085647,0.057021871,0.018095324,0.031410565,0.042885079,0.2143273770310684,0.6577440352071015,0.08642306,0.05241301,0.087499457
1218,3P51218_PI,120.32470092852418,80.72361617045323,2.616518541597557,15.093302683095764,0.019283831924516458,0.22794375915781181,1.3949857234558514,9.740210097132831,0.021908837802208057,0.35478557473316646,1.7337618502263874,12.689008299345803,0.034270805,0.6610240972881589,0.023406912,0.071782769,0.012534408,0.022906542,0.033968438,0.084547031,0.2625126036107628,0.1359305700295071,0.004240971,0.029787901
1219,3P51219_PI,161.28802119983726,26.674675159135095,3.5194777470220178,4.502991472631162,0.020537224,0.21403925407088076,1.599695416436156,2.2960341933485364,0.020944334,0.3696218321180408,1.7634909478117025,3.4035363052890624,0.0353313,0.6399520061030018,0.024225607,0.008644018,0.052640622,0.00953623,0.03404277,0.1240080320222956,1.050970627042129,0.1120453536292306,0.093283833,0.065322479
1220,3P51220_PI,119.44559484385462,27.661601945144522,2.6049742329071717,4.058503302868737,0.019237195419850688,0.22367667625672125,1.3886854677084781,2.1060290777610606,0.022264037043598476,0.36508606152117284,1.7497994429158652,3.0646029472979954,0.034611074207910326,0.6352173898090855,0.034162378,0.034192322,0.010517297,0.026244276,0.034733112,0.2518059616201799,1.6275400056238702,0.1958275648068193,0.036218169,0.000831986
1221,3P51221_PI,185.63191604993284,22.93849097330843,3.938678455827699,3.717907739670985,0.021744462,0.21564628926106438,1.6711404883851224,2.4173006180402568,0.019803091751624192,0.36805821126001026,1.8767423493771633,3.726656993172569,0.035542974964107896,0.6389298358768741,0.040412283,0.035047958,0.065852066,0.000222119,0.035703907,0.171905612,1.147258676536888,0.2060560249289101,0.1027301406314415,0.1025330736971211
1222,3P51222_PI,66.97093312471665,34.11786965807751,1.2690765754874334,6.040391502037796,0.019320375,0.213917255,1.4469916312583717,2.5436008024022514,0.023585479346625637,0.37188844011308675,2.1382892894855123,3.500169543559764,0.035222852,0.6429023762082627,0.017654677,0.069931214,0.1209587881613299,0.0505443,0.039386648,0.106238377,0.4406026380970429,0.097824676,0.1101357238283397,0.063067131
1223,3P51223_PI,136.00343266760513,22.489671660429746,2.6843541410365974,3.588051645820233,0.021606326458924054,0.21529711982140273,1.192330399316399,2.3195799317300443,0.019668644602819755,0.36805979988586385,1.4894558466034276,3.566694947030685,0.033775358,0.6389000066400238,0.038209877,0.058737663,0.078902595,0.007228901,0.026426684,0.2405602262893486,1.6444972158390343,0.107245185,0.071315412,0.044100819
1224,3P51224_PI,87.07375528328676,48.670748546432996,1.9382482298293042,9.078650701436647,0.016990195847170805,0.21575308707129476,1.409317723863849,3.6091607270985424,0.024014032,0.37495890773420637,1.9051131947246585,4.659245547589751,0.036140553,0.6471757130454342,0.012888663,0.038786646,0.016593616,0.050165546,0.039259928,0.093430258,0.1674432551164767,0.074727691,0.088462595,0.024513528
1225,3P51225_PI,71.10261693772786,47.101957468993035,1.3116929416087375,8.895290656375305,0.019875436,0.2109274831982599,1.4083757172353093,3.5958625131716504,0.023586960427379008,0.37511450233681715,2.0675636426569253,4.6643339878584955,0.035437290560031906,0.6474056978065993,0.021994626,0.061784853,0.1617235130729764,0.041727522,0.019412806,0.098996917,0.078557117,0.043583338,0.1194143359572932,0.020947855
